"Rocky.1","Rocky.2","Rocky.3","Rocky.4","Rocky.5","consumerID"
5,5,5,3,3,2145441
5,5,5,4,3,2145961
5,4,3,3,2,2146486
4,4,4,4,4,2147417
4,3,3,3,2,2147545
5,4,4,5,5,2147779
4,4,4,2,2,2148252
5,5,5,5,5,2149035
2,2,2,2,1,2150746
4,4,4,4,2,2150831
4,4,4,5,1,2151618
3,3,3,4,3,2152273
4,3,4,5,4,2152668
4,4,4,4,3,2152856
5,5,5,5,5,2153290
5,5,5,5,5,2153893
5,5,5,5,5,2155083
5,5,5,5,5,2155185
5,5,5,5,2,2155681
4,3,3,3,2,2157060
5,3,2,4,3,2157854
5,4,4,4,4,2158495
4,4,4,3,3,2158667
4,3,3,3,3,2160022
5,5,4,5,4,2160684
5,5,5,5,5,2162242
4,4,4,4,4,2163591
4,4,4,3,2,2163622
4,4,4,4,3,2164131
4,5,4,5,4,2164772
5,5,5,5,5,2164802
5,5,5,5,5,2167037
5,5,5,5,5,2167210
5,5,5,5,5,2167333
4,3,3,3,3,2167703
5,4,4,4,2,2168319
4,4,4,4,4,2169737
4,4,3,4,2,2170200
5,4,5,5,2,2170295
3,3,2,3,2,2171187
5,4,4,5,5,2171299
4,5,5,5,5,2171934
4,4,4,4,4,2171936
5,5,4,4,2,2172710
4,3,2,1,1,2173078
4,4,3,4,5,2174241
5,3,3,4,2,2174694
5,5,5,5,4,2175266
5,5,5,5,5,2176929
4,4,3,4,4,2177572
5,4,4,5,4,2178203
5,5,5,5,5,2178638
3,4,4,3,4,2178662
5,5,3,4,3,2178965
4,4,4,4,4,2179335
5,4,3,2,1,2179353
3,4,4,5,4,2180132
5,5,4,4,4,2180384
5,5,5,5,5,2180836
5,4,4,5,5,2181504
4,4,4,4,2,2181533
5,4,4,4,4,2181591
5,5,5,5,4,2181739
3,1,2,4,1,2182532
4,5,5,3,2,2182816
4,3,3,4,2,2183130
2,3,3,3,3,2183805
5,5,4,4,3,2185058
4,4,4,4,3,2186409
5,5,5,5,5,2187800
3,3,4,4,1,2188944
4,3,4,4,3,2188949
4,4,4,4,3,2189262
4,3,3,2,2,2189452
4,4,4,4,4,2191425
5,5,4,5,4,2191650
3,5,5,5,5,2191844
4,5,4,3,1,2192190
3,4,5,5,4,2192420
4,4,5,5,3,2193044
4,3,3,4,2,2193995
4,4,4,4,4,2194798
5,4,4,4,4,2195565
5,4,4,5,4,2195910
5,4,4,1,1,2196083
5,3,3,4,3,2196635
4,3,3,4,3,2196868
3,3,3,3,3,2198123
4,4,5,5,5,2198355
4,4,4,4,4,2199270
5,4,5,4,4,2200718
3,3,4,4,3,2202032
5,5,4,5,5,2203182
4,3,3,1,1,2203244
5,4,3,3,2,2203834
4,3,3,3,1,2204444
4,3,3,3,3,2205594
5,4,4,5,5,2205734
5,5,4,5,5,2205901
5,4,3,5,4,2205998
5,4,3,4,1,2207951
5,5,5,5,5,2208129
4,4,4,4,3,2208977
5,4,5,5,3,2209932
4,3,3,4,3,2212422
3,2,2,2,2,2213625
4,4,3,4,3,2213706
5,5,5,5,4,2214494
4,3,3,4,3,2214772
5,5,5,5,5,2215040
1,1,1,1,2,2216803
5,5,4,5,4,2216856
5,4,3,5,5,2217170
3,3,3,3,3,2217789
5,4,3,4,3,2217808
3,3,2,3,3,2218462
5,5,5,5,4,2218735
4,3,3,4,3,2218909
5,5,5,5,4,2219063
4,4,4,4,3,2219702
4,3,3,3,2,2219709
5,5,5,5,5,2220559
2,2,3,2,2,2220732
4,4,4,4,4,2220881
4,4,4,4,4,2221201
3,3,3,4,4,2222827
5,5,5,5,5,2223490
5,4,4,3,1,2223630
5,4,5,5,4,2225053
5,5,5,5,5,2225511
3,3,3,3,3,2225743
5,4,4,4,3,2226005
3,3,3,3,3,2226510
4,4,4,3,3,2226930
4,4,3,3,3,2227880
5,4,4,4,3,2228253
5,5,5,4,3,2228502
4,3,4,3,1,2228660
5,5,5,5,5,2228763
5,5,5,5,3,2228989
5,5,3,4,5,2229124
5,5,3,4,1,2229253
4,4,4,3,3,2229453
4,5,4,5,4,2230092
4,4,3,4,3,2232041
5,4,4,3,2,2232378
5,4,3,4,4,2233293
3,3,3,3,2,2233803
4,3,3,2,2,2234535
3,4,5,5,4,2234889
4,4,4,3,1,2237185
5,5,5,5,5,2238060
3,3,3,3,3,2238629
5,5,5,5,3,2238785
5,5,5,4,5,2238860
5,4,4,3,1,2239209
5,3,5,4,2,2239241
5,4,3,3,2,2240828
4,4,4,4,4,2241438
4,4,4,5,3,2241548
5,5,5,4,4,2241806
4,4,3,2,2,2242464
5,4,4,4,3,2242672
2,2,3,1,1,2244258
5,5,5,4,4,2244394
5,4,4,4,5,2245483
5,5,4,5,5,2248698
5,4,3,3,3,2250000
4,4,5,5,4,2250261
5,4,3,3,3,2250546
4,3,3,3,3,2252435
4,4,3,2,1,2253953
4,3,3,3,1,2254090
5,4,3,4,3,2254121
3,2,2,2,1,2255880
4,5,4,4,1,2256674
5,5,5,5,5,2256708
5,5,5,5,5,2257731
3,3,4,3,2,2258618
4,5,3,3,3,2258897
4,4,1,1,1,2259050
2,4,4,5,2,2260087
5,5,5,2,4,2260245
3,4,4,4,4,2260332
4,3,5,4,3,2260480
4,4,3,4,3,2260722
4,4,5,5,4,2260788
2,1,2,1,1,2260832
5,4,4,4,2,2261763
5,5,5,5,5,2263041
5,4,4,4,3,2264426
3,3,3,4,2,2265055
4,4,4,4,3,2265139
4,4,4,4,4,2266083
5,4,4,3,2,2266372
1,1,1,1,1,2266633
5,4,4,4,2,2267322
3,3,2,3,3,2267514
4,4,4,4,4,2269807
4,4,4,3,3,2270699
4,4,5,4,4,2271209
4,3,3,4,3,2271702
5,5,5,5,5,2273897
5,5,5,5,5,2274004
5,4,4,4,4,2274163
5,2,3,2,4,2274990
3,2,2,3,2,2275185
4,3,3,3,1,2275545
3,3,3,3,4,2275574
4,4,4,5,4,2275633
4,4,3,4,4,2276849
5,5,5,5,4,2277140
5,5,4,5,2,2278035
3,3,3,3,2,2278230
3,3,3,3,3,2278653
5,4,4,4,4,2278995
5,5,5,4,2,2279169
5,4,4,3,3,2279323
5,4,4,3,2,2279885
5,5,5,5,5,2281136
5,4,3,3,3,2281485
3,4,3,4,3,2282041
4,4,4,4,3,2282265
5,5,5,5,3,2282641
5,4,4,4,3,2283398
4,4,3,3,2,2283695
4,5,5,5,3,2283770
5,5,3,3,3,2284110
2,3,1,2,1,2284673
4,3,3,3,1,2284890
5,4,4,4,4,2286245
5,5,5,5,3,2287211
4,4,4,4,4,2290904
5,4,3,3,2,2291170
5,5,5,5,4,2292731
3,3,3,3,3,2293062
4,4,2,5,5,2295156
4,3,4,4,2,2295875
3,4,3,5,2,2296144
5,5,5,5,2,2296193
4,4,4,4,4,2297698
5,5,5,5,5,2298279
4,4,4,5,4,2299051
5,4,4,4,3,2299152
5,4,4,4,4,2299517
4,5,5,5,4,2300312
5,5,5,5,2,2300862
5,4,4,4,3,2301992
5,5,5,4,4,2302454
5,5,5,5,5,2302840
5,5,5,3,3,2303173
5,5,5,4,3,2303192
5,4,4,4,4,2303683
4,5,4,5,1,2306098
5,4,5,4,4,2306379
5,4,4,3,2,2307995
5,3,3,4,3,2308030
5,3,3,3,2,2308390
